Odd_H_Bin,Odd_A_Bin,Mean_Goals_H,Mean_Goals_A,Mean_Goals_H_S,Mean_Goals_A_S
"(2.2, 2.3]","(3.3, 3.4]",1.4346289752650176,1.0916666666666666,1.1925795053003534,1.5083333333333333
"(3.1, 3.2]","(2.1, 2.2]",1.1452991452991452,1.5267175572519085,1.4871794871794872,1.0954198473282444
"(5.2, 5.3]","(1.7, 1.8]",1.1578947368421053,1.6666666666666667,1.868421052631579,1.0864197530864197
"(1.9, 2.0]","(3.9, 4.0]",1.4210526315789473,1.0030487804878048,0.9774436090225563,1.625
"(2.5, 2.6]","(3.0, 3.1]",1.2472727272727273,1.0706713780918728,1.1054545454545455,1.2968197879858658
"(2.9, 3.0]","(2.1, 2.2]",1.180952380952381,1.5267175572519085,1.3238095238095238,1.0954198473282444
"(3.9, 4.0]","(1.8, 1.9]",1.0192307692307692,1.7796610169491525,1.5865384615384615,0.96045197740113
"(1.5, 1.6]","(6.4, 6.5]",1.9425587467362924,0.7627118644067796,0.8746736292428199,1.7966101694915255
"(3.9, 4.0]","(1.9, 2.0]",1.0192307692307692,1.4931506849315068,1.5865384615384615,1.0776255707762556
"(2.2, 2.3]","(3.4, 3.5]",1.4346289752650176,1.0408921933085502,1.1925795053003534,1.446096654275093
"(4.3, 4.4]","(1.6, 1.7]",0.8648648648648649,1.7333333333333334,1.6081081081081081,0.9666666666666667
"(3.7, 3.8]","(2.0, 2.1]",1.047337278106509,1.5810810810810811,1.3609467455621302,1.1936936936936937
"(1.6, 1.7]","(5.7, 5.8]",1.717153284671533,0.8695652173913043,0.8923357664233577,1.9565217391304348
"(3.3, 3.4]","(2.0, 2.1]",1.1735537190082646,1.5810810810810811,1.6611570247933884,1.1936936936936937
"(2.8, 2.9]","(2.3, 2.4]",1.1245551601423487,1.4149659863945578,1.209964412811388,1.2108843537414966
"(3.1, 3.2]","(2.0, 2.1]",1.1452991452991452,1.5810810810810811,1.4871794871794872,1.1936936936936937
"(2.7, 2.8]","(2.4, 2.5]",1.244514106583072,1.2596491228070175,1.335423197492163,1.287719298245614
"(1.8, 1.9]","(3.9, 4.0]",1.6560509554140128,1.0030487804878048,1.048832271762208,1.625
"(2.7, 2.8]","(2.5, 2.6]",1.244514106583072,1.3552123552123552,1.335423197492163,1.22007722007722
"(1.5, 1.6]","(5.7, 5.8]",1.9425587467362924,0.8695652173913043,0.8746736292428199,1.9565217391304348
"(1.3, 1.4]","(6.4, 6.5]",2.2891156462585034,0.7627118644067796,0.7482993197278912,1.7966101694915255
"(8.9, 9.0]","(1.2, 1.3]",0.5625,2.5319148936170213,2.125,0.7659574468085106
"(3.0, 3.1]","(2.3, 2.4]",1.131979695431472,1.4149659863945578,1.5076142131979695,1.2108843537414966
"(1.6, 1.7]","(5.2, 5.3]",1.717153284671533,0.9020618556701031,0.8923357664233577,1.7525773195876289
"(1.2, 1.3]","(12.9, 13.0]",2.3625730994152048,0.8055555555555556,0.7719298245614035,2.5555555555555554
"(3.0, 3.1]","(2.4, 2.5]",1.131979695431472,1.2596491228070175,1.5076142131979695,1.287719298245614
,,,,,
"(2.8, 2.9]","(2.4, 2.5]",1.1245551601423487,1.2596491228070175,1.209964412811388,1.287719298245614
"(2.6, 2.7]","(2.3, 2.4]",1.2974504249291785,1.4149659863945578,1.3257790368271956,1.2108843537414966
"(1.7, 1.8]","(4.7, 4.8]",1.7216117216117217,0.9681274900398407,0.9120879120879121,1.7131474103585658
"(1.1, 1.2]","(12.9, 13.0]",2.8869565217391306,0.8055555555555556,0.6869565217391305,2.5555555555555554
"(2.4, 2.5]","(3.0, 3.1]",1.2980295566502462,1.0706713780918728,1.229064039408867,1.2968197879858658
"(1.8, 1.9]","(4.3, 4.4]",1.6560509554140128,1.0232558139534884,1.048832271762208,1.6604651162790698
"(3.2, 3.3]","(2.1, 2.2]",1.1693121693121693,1.5267175572519085,1.5555555555555556,1.0954198473282444
"(6.9, 7.0]","(1.4, 1.5]",0.7878787878787878,2.3684210526315788,2.272727272727273,0.8421052631578947
"(2.9, 3.0]","(2.4, 2.5]",1.180952380952381,1.2596491228070175,1.3238095238095238,1.287719298245614
"(2.1, 2.2]","(3.4, 3.5]",1.4109848484848484,1.0408921933085502,1.0681818181818181,1.446096654275093
"(4.7, 4.8]","(1.8, 1.9]",0.9873417721518988,1.7796610169491525,1.7974683544303798,0.96045197740113
"(3.4, 3.5]","(2.1, 2.2]",1.0,1.5267175572519085,1.485981308411215,1.0954198473282444
"(1.9, 2.0]","(3.8, 3.9]",1.4210526315789473,0.9,0.9774436090225563,1.55
"(1.4, 1.5]","(7.9, 8.0]",2.1237458193979935,0.8860759493670886,0.7625418060200669,2.2911392405063293
"(1.7, 1.8]","(4.4, 4.5]",1.7216117216117217,0.8333333333333334,0.9120879120879121,1.6936936936936937
"(4.1, 4.2]","(1.8, 1.9]",0.8536585365853658,1.7796610169491525,1.6829268292682926,0.96045197740113
"(1.9, 2.0]","(3.3, 3.4]",1.4210526315789473,1.0916666666666666,0.9774436090225563,1.5083333333333333
"(5.4, 5.5]","(1.5, 1.6]",1.0208333333333333,1.7395833333333333,1.8958333333333333,0.9791666666666666
"(1.9, 2.0]","(4.3, 4.4]",1.4210526315789473,1.0232558139534884,0.9774436090225563,1.6604651162790698
"(7.9, 8.0]","(1.3, 1.4]",0.75,2.041095890410959,2.2083333333333335,0.7945205479452054
"(1.5, 1.6]","(5.9, 6.0]",1.9425587467362924,0.765625,0.8746736292428199,1.796875
"(1.8, 1.9]","(3.7, 3.8]",1.6560509554140128,1.0519187358916477,1.048832271762208,1.437923250564334
"(2.2, 2.3]","(3.2, 3.3]",1.4346289752650176,1.0727272727272728,1.1925795053003534,1.412121212121212
"(3.0, 3.1]","(2.2, 2.3]",1.131979695431472,1.5309446254071661,1.5076142131979695,1.0846905537459284
"(2.1, 2.2]","(3.5, 3.6]",1.4109848484848484,1.114814814814815,1.0681818181818181,1.3592592592592592
"(3.1, 3.2]","(2.3, 2.4]",1.1452991452991452,1.4149659863945578,1.4871794871794872,1.2108843537414966
"(3.7, 3.8]","(2.1, 2.2]",1.047337278106509,1.5267175572519085,1.3609467455621302,1.0954198473282444
"(2.0, 2.1]","(3.4, 3.5]",1.4924812030075187,1.0408921933085502,1.0601503759398496,1.446096654275093
"(9.4, 9.5]","(1.2, 1.3]",0.45454545454545453,2.5319148936170213,3.272727272727273,0.7659574468085106
"(1.3, 1.4]","(6.9, 7.0]",2.2891156462585034,0.7357142857142858,0.7482993197278912,2.2857142857142856
"(1.7, 1.8]","(3.9, 4.0]",1.7216117216117217,1.0030487804878048,0.9120879120879121,1.625
"(1.3, 1.4]","(8.9, 9.0]",2.2891156462585034,0.59375,0.7482993197278912,2.09375
"(1.6, 1.7]","(4.7, 4.8]",1.717153284671533,0.9681274900398407,0.8923357664233577,1.7131474103585658
"(4.5, 4.6]","(1.6, 1.7]",1.0,1.7333333333333334,1.0,0.9666666666666667
"(2.6, 2.7]","(2.6, 2.7]",1.2974504249291785,1.107033639143731,1.3257790368271956,1.2477064220183487
"(2.1, 2.2]","(2.9, 3.0]",1.4109848484848484,1.1254125412541254,1.0681818181818181,1.2112211221122111
"(1.3, 1.4]","(9.4, 9.5]",2.2891156462585034,0.851063829787234,0.7482993197278912,2.3404255319148937
"(1.5, 1.6]","(5.2, 5.3]",1.9425587467362924,0.9020618556701031,0.8746736292428199,1.7525773195876289
"(5.4, 5.5]","(1.4, 1.5]",1.0208333333333333,2.3684210526315788,1.8958333333333333,0.8421052631578947
"(3.2, 3.3]","(2.2, 2.3]",1.1693121693121693,1.5309446254071661,1.5555555555555556,1.0846905537459284
"(2.5, 2.6]","(2.8, 2.9]",1.2472727272727273,1.2161383285302594,1.1054545454545455,1.2968299711815563
"(1.0, 1.1]",,4.181818181818182,,0.5909090909090909,
"(4.7, 4.8]","(1.7, 1.8]",0.9873417721518988,1.6666666666666667,1.7974683544303798,1.0864197530864197
"(1.1, 1.2]","(15.9, 16.0]",2.8869565217391306,1.5,0.6869565217391305,2.0
"(2.8, 2.9]","(2.6, 2.7]",1.1245551601423487,1.107033639143731,1.209964412811388,1.2477064220183487
"(1.7, 1.8]","(5.9, 6.0]",1.7216117216117217,0.765625,0.9120879120879121,1.796875
"(1.2, 1.3]","(11.9, 12.0]",2.3625730994152048,0.7027027027027027,0.7719298245614035,2.7567567567567566
"(7.4, 7.5]","(1.4, 1.5]",0.9130434782608695,2.3684210526315788,1.8695652173913044,0.8421052631578947
"(4.9, 5.0]","(1.5, 1.6]",0.971830985915493,1.7395833333333333,1.5774647887323943,0.9791666666666666
"(1.2, 1.3]","(16.9, 17.0]",2.3625730994152048,0.5652173913043478,0.7719298245614035,2.869565217391304
"(1.4, 1.5]","(7.4, 7.5]",2.1237458193979935,0.6551724137931034,0.7625418060200669,2.0344827586206895
"(4.4, 4.5]","(1.6, 1.7]",1.0757575757575757,1.7333333333333334,1.5757575757575757,0.9666666666666667
"(4.9, 5.0]","(1.7, 1.8]",0.971830985915493,1.6666666666666667,1.5774647887323943,1.0864197530864197
